"ID","Vehicles"
20170701001,77
20170701011,56
20170701021,51
20170701031,40
20170701041,37
20170701051,34
20170701061,38
20170701071,47
20170701081,52
20170701091,60
20170701101,75
20170701111,78
20170701121,85
20170701131,76
20170701141,93
20170701151,76
20170701161,76
20170701171,58
20170701181,80
20170701191,89
20170701201,84
20170701211,80
20170701221,78
20170701231,73
20170702001,73
20170702011,52
20170702021,49
20170702031,39
20170702041,36
20170702051,32
20170702061,37
20170702071,43
20170702081,51
20170702091,59
20170702101,71
20170702111,76
20170702121,89
20170702131,77
20170702141,92
20170702151,73
20170702161,74
20170702171,61
20170702181,83
20170702191,90
20170702201,88
20170702211,83
20170702221,80
20170702231,78
20170703001,78
20170703011,58
20170703021,53
20170703031,42
20170703041,37
20170703051,33
20170703061,40
20170703071,46
20170703081,52
20170703091,61
20170703101,76
20170703111,87
20170703121,94
20170703131,85
20170703141,92
20170703151,84
20170703161,83
20170703171,96
20170703181,96
20170703191,101
20170703201,102
20170703211,94
20170703221,87
20170703231,88
20170704001,85
20170704011,69
20170704021,59
20170704031,49
20170704041,40
20170704051,37
20170704061,44
20170704071,50
20170704081,54
20170704091,64
20170704101,83
20170704111,100
20170704121,100
20170704131,93
20170704141,92
20170704151,98
20170704161,93
20170704171,112
20170704181,107
20170704191,113
20170704201,115
20170704211,105
20170704221,93
20170704231,95
20170705001,90
20170705011,76
20170705021,62
20170705031,54
20170705041,42
20170705051,40
20170705061,47
20170705071,54
20170705081,56
20170705091,67
20170705101,87
20170705111,106
20170705121,100
20170705131,95
20170705141,92
20170705151,103
20170705161,97
20170705171,107
20170705181,110
20170705191,116
20170705201,118
20170705211,107
20170705221,94
20170705231,95
20170706001,90
20170706011,75
20170706021,62
20170706031,53
20170706041,42
20170706051,41
20170706061,46
20170706071,54
20170706081,56
20170706091,67
20170706101,87
20170706111,103
20170706121,99
20170706131,93
20170706141,92
20170706151,101
20170706161,95
20170706171,106
20170706181,105
20170706191,113
20170706201,110
20170706211,101
20170706221,91
20170706231,90
20170707001,85
20170707011,67
20170707021,59
20170707031,47
20170707041,41
20170707051,39
20170707061,43
20170707071,51
20170707081,55
20170707091,66
20170707101,84
20170707111,96
20170707121,97
20170707131,89
20170707141,92
20170707151,94
20170707161,91
20170707171,92
20170707181,99
20170707191,107
20170707201,98
20170707211,92
20170707221,88
20170707231,84
20170708001,80
20170708011,57
20170708021,56
20170708031,41
20170708041,40
20170708051,36
20170708061,41
20170708071,48
20170708081,54
20170708091,64
20170708101,81
20170708111,91
20170708121,97
20170708131,87
20170708141,92
20170708151,90
20170708161,88
20170708171,66
20170708181,95
20170708191,103
20170708201,91
20170708211,86
20170708221,85
20170708231,81
20170709001,78
20170709011,54
20170709021,55
20170709031,39
20170709041,39
20170709051,35
20170709061,40
20170709071,48
20170709081,54
20170709091,63
20170709101,80
20170709111,90
20170709121,97
20170709131,88
20170709141,92
20170709151,90
20170709161,88
20170709171,68
20170709181,97
20170709191,104
20170709201,93
20170709211,88
20170709221,86
20170709231,83
20170710001,80
20170710011,59
20170710021,56
20170710031,43
20170710041,39
20170710051,35
20170710061,41
20170710071,48
20170710081,54
20170710091,64
20170710101,82
20170710111,93
20170710121,98
20170710131,89
20170710141,92
20170710151,93
20170710161,90
20170710171,96
20170710181,100
20170710191,107
20170710201,102
20170710211,95
20170710221,88
20170710231,87
20170711001,84
20170711011,68
20170711021,58
20170711031,49
20170711041,40
20170711051,37
20170711061,43
20170711071,50
20170711081,55
20170711091,65
20170711101,83
20170711111,97
20170711121,98
20170711131,91
20170711141,92
20170711151,96
20170711161,92
20170711171,108
20170711181,103
20170711191,109
20170711201,110
20170711211,101
20170711221,90
20170711231,90
20170712001,87
20170712011,75
20170712021,59
20170712031,53
20170712041,40
20170712051,38
20170712061,45
20170712071,51
20170712081,55
20170712091,66
20170712101,84
20170712111,98
20170712121,98
20170712131,91
20170712141,92
20170712151,97
20170712161,92
20170712171,104
20170712181,103
20170712191,110
20170712201,112
20170712211,103
20170712221,90
20170712231,90
20170713001,87
20170713011,74
20170713021,59
20170713031,52
